link,title,pubDate,description,thumbnail
https://www.antaranews.com/berita/3734607/pemprov-kaltim-komitmen-kembangkan-pertanian-sejuta-hektare,Pemprov Kaltim komitmen kembangkan pertanian sejuta hektare,2023-09-19T15:32:59.000Z,"Pemerintah Provinsi Kalimantan Timur berkomitmen mengembangkan sektor pertanian melalui program sejuta hektare dalam rangka mewujudkan swasembada pangan lokal. &quot;Ada atau tidak adanya Ibu Kota Negara ( IKN) Nusantara, ...",https://img.antaranews.com/cache/800x533/2023/09/19/IMG_3283.jpeg
https://www.antaranews.com/berita/3734604/indra-sjafri-berterima-kasih-kepada-pelatih-pelatih-klub-liga-1,Indra Sjafri berterima kasih kepada pelatih-pelatih klub Liga 1,2023-09-19T15:30:19.000Z,"Pelatih tim nasional U-24 Indra Sjafri berterima kasih kepada para pelatih di Liga 1, yang telah memberikan para pemainnya dan membuat para pemain dapat tampil bagus pada pertandingan pertama Grup F Asian Games melawan Kirgistan, ...",https://img.antaranews.com/cache/800x533/2023/09/15/antarafoto-latihan-timnas-jelang-asian-games-150923-hma-3.jpg
https://www.antaranews.com/video/3734559/bupati-maluku-tenggara-diduga-lecehkan-karyawati-polda-masih-dikaji,"Bupati Maluku Tenggara diduga lecehkan karyawati, Polda: Masih dikaji",2023-09-19T15:27:53.000Z,ANTARA - Bupati Maluku Tenggara M Thaher Hanubun diduga melakukan pelecehan seksual terhadap karyawati yang bekerja di kafe miliknya di kota Ambon. Hingga kini Polda Maluku masih terus mengusut kasus pelecehan tersebut. (Alfian ...,https://img.antaranews.com/cache/800x533/2023/09/SANS_BUPATI-MALUKU-TENGGARA-DIDUGA-LECEHKAN-KARYAWATI-POLDA-MASIH-DIKAJI.jpg
https://www.antaranews.com/berita/3734601/analis-kebijakan-publik-sebut-dugaan-asn-tak-netral-sangat-berbahaya,Analis Kebijakan Publik sebut dugaan ASN tak netral sangat berbahaya,2023-09-19T15:25:19.000Z,Analis Kebijakan Publik Universitas Trisakti Trubus Rahadiansyah menyebut dugaan aparatur sipil negara (ASN) yang tidak netral menjelang Pemilihan Umum (Pemilu) 2024 sangat berbahaya jika dibiarkan. &ldquo;Dugaan maraknya ASN ...,https://img.antaranews.com/cache/800x533/2020/03/30/IMG-20200330-WA0040_1.jpg
https://www.antaranews.com/berita/3734598/sulut-united-akan-maksimalkan-waktu-persiapan-jelang-hadapi-persewar,Sulut United akan maksimalkan waktu persiapan jelang hadapi Persewar,2023-09-19T15:24:44.000Z,"Pelatih Sulut United Jaya Hartono mengatakan timnya akan memanfaatkan waktu dua minggu untuk mempersiapkan diri menghadapi Persewar Waropen pada pekan keempat Liga 2 Indonesia Grup 4 di Stadion Klabat, Manado, Jumat (29/9) ...",https://img.antaranews.com/cache/800x533/2022/10/01/sulut-united-biak.jpg
https://www.antaranews.com/video/3734580/kpk-resmi-tahan-mantan-dirut-pertamina-karen-agustiawan,KPK resmi tahan mantan Dirut Pertamina Karen Agustiawan,2023-09-19T15:21:50.000Z,ANTARA - Komisi Pemberantasan Korupsi(KPK) resmi menahan Direktur Utama PT Pertamina (Persero) periode 2009-2014 Karen Agustiawan sebagai tersangka kasus dugaan korupsi pengadaan Liquefied Natural Gas (LNG) di PT Pertamina ...,https://img.antaranews.com/cache/800x533/2023/09/KPK-RESMI-TAHAN-MANTAN-DIRUT-PERTAMINA-KAREN-AGUSTIAWAN.jpg
https://www.antaranews.com/berita/3734595/kpu-bantah-usul-pendaftaran-capres-cawapres-maju-pertimbangan-politis,KPU bantah usul pendaftaran capres-cawapres maju pertimbangan politis,2023-09-19T15:21:37.000Z,Anggota Komisi Pemilihan Umum (KPU) RI Idham Holik membantah jika usulan memajukan jadwal pendaftaran calon presiden (capres) dan calon wakil presiden (cawapres) pada Pilpres 2024 didasarkan pertimbangan politis. &ldquo;Jadi ...,https://img.antaranews.com/cache/800x533/2023/09/19/WhatsApp-Image-2023-09-19-at-22.12.27.jpeg
https://www.antaranews.com/video/3734526/operasi-pasar-pemkot-palangka-raya-salurkan-ratusan-sembako-murah,"Operasi pasar, Pemkot Palangka Raya salurkan ratusan sembako murah",2023-09-19T15:20:52.000Z,"ANTARA - Dinas Perdagangan, Koperasi UKM dan Perindustrian (DPKUKMP) Palangka Raya menggelar operasi pasar sembako murah bagi warga di Kelurahan Langkai, Kecamatan Pahandut, Selasa (19/9).Total ada ratusan paket sembako yang ...",https://img.antaranews.com/cache/800x533/2023/09/SANS_OPERASI-PASAR-PEMKOT-PALANGKA-RAYA-SALURKAN-RATUSAN-SEMBAKO-MURAH.jpg
https://www.antaranews.com/berita/3734592/kemenkominfo-siapkan-aturan-kyc-untuk-registrasi-nomor-seluler,"Kemenkominfo siapkan aturan ""KYC"" untuk registrasi nomor seluler",2023-09-19T15:19:31.000Z,Kementerian Komunikasi dan Informatika&nbsp;tengah menyiapkan aturan &quot;Know Your Customer&quot; atau kenali pelanggan bagi operator seluler sebagai syarat registrasi nomor seluler sehingga memiliki keamanan yang lebih ...,https://img.antaranews.com/cache/800x533/2023/09/19/IMG-20230919-WA0007_3.jpg
https://www.antaranews.com/berita/3734589/ganjar-semua-tokoh-masih-punya-peluang-sama-jadi-bacawapresnya,Ganjar: Semua tokoh masih punya peluang sama jadi bacawapresnya,2023-09-19T15:17:45.000Z,Bakal calon presiden (bacapres) PDI Perjuangan Ganjar Pranowo mengatakan semua tokoh saat ini masih memiliki peluang sama menjadi pendampingnya untuk maju pada Pilpres 2024. &quot;Semua masih punya peluang yang sama pada hari ...,https://img.antaranews.com/cache/800x533/2023/09/19/IMG_20230919_202249.jpg
